EMAIL,CORPORATE,CITY,COMPANY,DISCOUNT
nicolette@yahoo.com,Y,Dallas,Marv Mcqueary Excavating Inc,0.1
sroerish@yahoo.com,Y,San Jose,Acme Awning Co,0.05
shaun@mogollon.com,Y,Alliance,Radio Shack Erickson Gls & Sat,0.1
alyssa_kantola@kantola.com,Y,Hauppauge,Clark County Community Crdt Un,0.075
gbillet@yahoo.com,Y,New York,Swan Label & Tag Co,0.2
sbutman@hotmail.com,Y,Columbus,Northern Boiler Co,0.1
iris_shauer@aol.com,Y,New York,Mag Tech,0.1
ashlie@trufin.com,Y,Buena Park,Ridal Corp,0.05
desmond_mounkes@mounkes.com,Y,San Jose,Kinkos Copies,0.1
yolande@mosen.org,Y,Milford,New York Clothiers,0.075
carmine_nowlan@cox.net,Y,North Brunswick,Chemineer Inc,0.1
ledler@yahoo.com,Y,Media,"Stahl, Howard H Esq",0.05
isubera@gmail.com,Y,Saint Louis,"Miller, Douglas E Esq",0.1
sebrina_kuser@hotmail.com,Y,Bar Harbor,"Lathe, Douglas Esq",0.075
serita_vernaglia@cox.net,Y,Lynnwood,Copenhaver Kath & Kitchen,0.2
delores@yahoo.com,Y,Saint Louis,Hardware Distrb Whses Inc,0.1
cstinehour@gmail.com,Y,Abington,"Garton, Jeffrey P Esq",0.1
rhiannon@byrom.com,Y,Charlotte,American Craftsmen Paint Contr,0.05
consuela@capek.org,Y,Tulsa,Mills & Company,0.1
treva.pizira@gmail.com,Y,Plainfield,Orthotic & Prosthetic Assocs,0.075
mcomerford@cox.net,Y,Philadelphia,Baird & Company,0.1
jkellen@cox.net,Y,Staten Island,Asap Secretarial Service,0.05
tony@aol.com,Y,Sanger,Microcomp Systems,0.1
wendi_mensik@hotmail.com,Y,Maple Heights,"Kelly, Charles G Esq",0.075
shaunte.trewin@cox.net,Y,Flint,Merco Credit Union,0.2
robbie_talladino@cox.net,Y,Dallas,Fernley Super 8 Motel,0.1
phoebe.bitton@yahoo.com,Y,Houston,Free Press,0.1
nlessor@lessor.org,Y,New York,Queensway Foods Co Inc,0.05
samatha@gmail.com,Y,Providence,"Medwin, Lauri S Esq",0.1
darlena@yahoo.com,Y,Rockford,"Strange, Hal M Esq",0.075
alexis_arrison@cox.net,Y,New Holland,Koehlers Bakery,0.1
aokin@yahoo.com,Y,New Bedford,Salt Lake City Magazine,0.05
cbillett@billett.org,Y,Allentown,"Hardacre, Elizabeth A Esq",0.1
phoebe.simunek@cox.net,Y,Maumee,Sun Plastics Co Inc,0.075
gwen_shrimplin@shrimplin.com,Y,Conroe,Active Brass Foundry,0.2
dean@cowen.com,Y,High Point,"Crabtree, Maril M Esq",0.1
arlen.blessing@blessing.com,Y,Las Vegas,Landsberg & Matson,0.1
katherina@hotmail.com,Y,Casper,"Frank, Patrick G Esq",0.05
wendie@aol.com,Y,Wilmington,R M Hoffman Co,0.1
karon_napps@yahoo.com,Y,Nashville,Cnty Clrk & Recorder Birth,0.075
sina_corby@aol.com,Y,Culver City,Built Rite Products Co,0.1
mozelle@cox.net,Y,Poughkeepsie,Stewart Filmscreen Corp,0.05
cmauleon@yahoo.com,Y,Kingston,Mary Ruby Shop,0.1
chante.sevadjian@cox.net,Y,Warren,"Gillan, Bradley J Esq",0.075
kwillaby@hotmail.com,Y,Gaithersburg,Linguacomm,0.2
sirena.caposole@cox.net,Y,Warren,Altonized Federal Credit Union,0.1
camellia_visconti@hotmail.com,Y,Bridgewater,C S V Sales Inc,0.1
rex@aol.com,Y,Schaumburg,Bremen Corp,0.05
brigette_repenning@hotmail.com,Y,New York,Henry O Baker Inc,0.1
dewey_vanoosten@yahoo.com,Y,Newark,Aladdin Marking Systems,0.075
mbratton@yahoo.com,Y,Daytona Beach,Burnham Habel & Assoc Inc,0.1
eleonore_foard@gmail.com,Y,Reno,"Goodman, William R Esq",0.05
merrilee.lehto@aol.com,Y,Lynwood,Vet Co Pacific Inc,0.1
jcooksey@gmail.com,Y,Kerrville,"Dawson, David R Esq",0.075
tyisha.lerner@yahoo.com,Y,Williamstown,Marston & Marston Inc,0.2
wilbur@yahoo.com,Y,Sedalia,"Moore, Albert F Esq",0.1
myra@yahoo.com,Y,Twisp,Golden Hotel,0.1
inell_herpich@yahoo.com,Y,Aurora,Helco Sales Co,0.05
elisha@aol.com,Y,Feasterville Trevose,William M Rice Of Counsel,0.1
jennefer@omar.org,Y,Waco,Camp Fire Boys & Girls,0.075
trena@gmail.com,Y,Lafayette,Delta Label & Packaging,0.1
vbenitone@hotmail.com,Y,Burnsville,Billings Petroleum Club,0.05
kristopher.fava@aol.com,Y,Milwaukee,Edward Blazak Manufacturing Co,0.1
christopher@yahoo.com,Y,Long Island City,Hampton Inn,0.075
