PH_NO,STATE,CITY,ROUND_TRIP
214-332-3799,CA,San Jose,Y
408-814-1140,MS,Biloxi,Y
228-743-5937,TX,Houston,Y
713-805-8203,CA,Northridge,Y
818-583-5470,NE,Alliance,Y
308-775-6377,NY,Hauppauge,Y
631-543-3358,NY,New York,N
212-856-4285,PA,Philadelphia,N
215-327-9700,NE,South Sioux City,N
402-535-1747,NY,Vestal,Y
607-848-9435,CA,Dublin,Y
925-252-3646,OH,Columbus,Y
614-737-6396,NH,Nashua,Y
603-937-9509,NJ,Morristown,N
973-578-4923,NJ,Whippany,N
973-499-8031,NY,New York,Y
212-286-4015,CA,Buena Park,Y
714-628-9481,CA,San Jose,Y
408-689-2510,NC,Fayetteville,Y
910-356-6736,CA,Aliso Viejo,Y
949-802-4737,CA,Lancaster,Y
661-662-3616,PA,Philadelphia,N
215-714-3676,CA,Stockton,N
209-216-4806,CT,Milford,N
203-939-2470,NJ,Absecon,Y
609-934-1463,CA,Cypress,Y
714-797-2766,WY,Cheyenne,Y
307-396-6906,NY,Long Island City,Y
718-983-8833,NJ,Bridgewater,N
908-331-3675,NJ,North Brunswick,N
732-549-3681,PA,Media,Y
610-624-7780,NY,New York,Y
212-508-8649,NY,New York,Y
212-743-4293,MN,Minneapolis,Y
612-299-9708,NY,Elmsford,Y
914-925-3341,WI,Milwaukee,Y
414-478-2057,NJ,Scotch Plains,N
908-463-2210,MO,Saint Louis,N
314-308-1446,ME,Bar Harbor,N
207-722-6451,RI,Warwick,Y
401-534-4832,CA,Roseville,Y
916-705-5807,FL,Hialeah,Y
305-829-9436,NC,Burlington,Y
336-716-9968,WA,Lynnwood,N
425-795-1088,LA,Lafayette,N
337-680-6255,MI,Flint,Y
810-944-2888,WI,Sheboygan,Y
920-815-3151,CA,Temecula,Y
951-454-7102,CA,Los Angeles,Y
213-673-3188,MO,Saint Louis,Y
314-951-8562,MA,Abington,Y
781-711-6980,FL,Orlando,N
407-845-6907,MI,Kalamazoo,N
269-769-6015,CT,North Haven,N
203-799-8397,MD,Gaithersburg,Y
301-260-8743,WI,Milwaukee,Y
414-423-9493,NJ,Deptford,Y
856-517-3289,NC,Charlotte,Y
704-294-9416,OK,Tulsa,N
918-265-5766,MI,Grand Rapids,N
616-838-9558,MI,Manchester,Y
734-378-2270,PA,Pottstown,Y
610-343-3336,MA,Acton,Y
978-950-8084,PA,Camp Hill,Y
717-993-6757,CA,Campbell,Y
408-570-4808,NJ,Plainfield,Y
908-800-5971,RI,East Providence,N
401-402-8316,RI,Warwick,N
401-629-5478,OR,Clackamas,N
503-597-9381,TN,Memphis,Y
901-930-8831,AL,Huntsville,Y
256-552-6103,TX,Burnet,Y
